stid,name,geometry,index_right,OBJECTID,STATEFP,COUNTYFP,CountyName
MINC,Minco,POINT Z (-97.95553 35.27225 430),25,26,40,051,Grady
MRSH,Marshall,POINT Z (-97.60685 36.11685 311),41,42,40,083,Logan
MTHE,Mt Herman,POINT Z (-94.82275 34.31072 284),44,45,40,089,McCurtain
NEWK,Newkirk,POINT Z (-96.91035 36.8981 366),35,36,40,071,Kay
NEWP,Newport,POINT Z (-97.20142 34.2281 283),9,10,40,019,Carter
NINN,Ninnekah,POINT Z (-97.95202 34.96774 356),25,26,40,051,Grady
NORM,Norman,POINT Z (-97.4836 35.2556 360),13,14,40,027,Cleveland
NOWA,Nowata,POINT Z (-95.60795 36.74374 206),52,53,40,105,Nowata
NRMN,Norman,POINT Z (-97.46488 35.23611 357),13,14,40,027,Cleveland
OILT,Oilton,POINT Z (-96.49749 36.03126 255),18,19,40,037,Creek
OKCE,Oklahoma City East,POINT Z (-97.46414 35.47226 355),54,55,40,109,Oklahoma
OKCN,Oklahoma City North,POINT Z (-97.5107 35.5556 362),54,55,40,109,Oklahoma
OKCW,Oklahoma City West,POINT Z (-97.58245 35.47112 366),54,55,40,109,Oklahoma
OKEM,Okemah,POINT Z (-96.26265 35.43172 263),53,54,40,107,Okfuskee
OKMU,Okmulgee,POINT Z (-95.91473 35.58211 205),55,56,40,111,Okmulgee
PAUL,Pauls Valley,POINT Z (-97.22924 34.7155 291),24,25,40,049,Garvin
PAWN,Pawnee,POINT Z (-96.76986 36.36114 283),58,59,40,117,Pawnee
PERK,Perkins,POINT Z (-97.04831 35.99865 292),59,60,40,119,Payne
PORT,Porter,POINT Z (-95.55976 35.8257 193),72,73,40,145,Wagoner
PRES,Preston,POINT Z (-95.9886 35.7247 300),55,56,40,111,Okmulgee
PRYO,Pryor,POINT Z (-95.27138 36.36914 201),48,49,40,097,Mayes
PUTN,Putnam,POINT Z (-98.96038 35.89904 589),21,22,40,043,Dewey
REDR,Red Rock,POINT Z (-97.15306 36.3559 293),51,52,40,103,Noble
RETR,Retrop,POINT Z (-99.36001 35.12275 538),74,75,40,149,Washita
RING,Ringling,POINT Z (-97.58812 34.19365 283),33,34,40,067,Jefferson
SALL,Sallisaw,POINT Z (-94.79805 35.43815 157),67,68,40,135,Sequoyah
SEIL,Seiling,POINT Z (-99.0403 36.19033 545),76,77,40,153,Woodward
SEMI,Seminole,POINT Z (-96.70028 35.1766 292),66,67,40,133,Seminole
SHAW,Shawnee,POINT Z (-96.94822 35.36492 328),62,63,40,125,Pottawatomie
SKIA,Skiatook,POINT Z (-96.03706 36.4153 282),56,57,40,113,Osage
SLAP,Slapout,POINT Z (-100.26192 36.59749 774),3,4,40,007,Beaver
SPEN,Spencer,POINT Z (-97.34146 35.54208 373),54,55,40,109,Oklahoma
STIG,Stigler,POINT Z (-95.18116 35.26527 173),30,31,40,061,Haskell
STIL,Stillwater,POINT Z (-97.09527 36.12093 272),59,60,40,119,Payne
STUA,Stuart,POINT Z (-96.06982 34.87642 256),60,61,40,121,Pittsburg
SULP,Sulphur,POINT Z (-96.95048 34.5661 320),49,50,40,099,Murray
TAHL,Tahlequah,POINT Z (-94.98671 35.97235 290),10,11,40,021,Cherokee
TALA,Talala,POINT Z (-95.74515 36.57431 228),65,66,40,131,Rogers
TALI,Talihina,POINT Z (-95.01152 34.7107 204),39,40,40,079,Le Flore
TIPT,Tipton,POINT Z (-99.13755 34.43972 387),70,71,40,141,Tillman
TISH,Tishomingo,POINT Z (-96.67895 34.33262 268),34,35,40,069,Johnston
TULL,Tullahassee,POINT Z (-95.4133 35.8397 189),72,73,40,145,Wagoner
TULN,Tulsa,POINT Z (-95.93883 36.19666 209),71,72,40,143,Tulsa
VALL,Valliant,POINT Z (-95.114913 33.938606 120),44,45,40,089,McCurtain
VANO,Vanoss,POINT Z (-96.84381 34.79146 320),61,62,40,123,Pontotoc
VINI,Vinita,POINT Z (-95.22094 36.77536 236),17,18,40,035,Craig
WAL2,Walters,POINT Z (-98.34569 34.39957 323),16,17,40,033,Cotton
WALT,Walters,POINT Z (-98.32025 34.3647 308),16,17,40,033,Cotton
WASH,Washington,POINT Z (-97.52109 34.98224 345),43,44,40,087,McClain
WATO,Watonga,POINT Z (-98.52615 35.84185 517),5,6,40,011,Blaine
WAUR,Waurika,POINT Z (-97.98815 34.16775 283),33,34,40,067,Jefferson
WEAT,Weatherford,POINT Z (-98.77509 35.5083 538),19,20,40,039,Custer
WEB3,Webbers Falls,POINT Z (-95.149933 35.515148 146),50,51,40,101,Muskogee
WEBB,Webbers Falls,POINT Z (-95.13209 35.47298 145),50,51,40,101,Muskogee
WEBR,Webbers Falls,POINT Z (-95.1233 35.489 145),50,51,40,101,Muskogee
WEST,Westville,POINT Z (-94.64496 36.011 348),0,1,40,001,Adair
WILB,Wilburton,POINT Z (-95.34805 34.90092 199),38,39,40,077,Latimer
WIST,Wister,POINT Z (-94.68778 34.98426 143),39,40,40,079,Le Flore
WOOD,Woodward,POINT Z (-99.41682 36.42329 625),76,77,40,153,Woodward
WYNO,Wynona,POINT Z (-96.34222 36.51806 269),56,57,40,113,Osage
YUKO,Yukon,POINT Z (-97.75538 35.55671 407),8,9,40,017,Canadian
